id_i,id_j,similitud_ponderada
4,115,0.20757418583505538
4,116,0.31991933384829674
4,117,0.5908248290463863
4,118,0.3969035209299283
4,119,0.10444271909999159
4,120,0.10444271909999159
4,121,0.12485513362318475
4,122,0.1699193338482967
4,123,0.2744927593344609
4,124,0.08944271909999159
4,125,0.18257418583505539
4,126,0.5044427190999916
4,127,0.4044427190999916
4,128,0.0
4,129,0.39601126159491534
4,130,0.4575741858350554
4,131,0.1699193338482967
4,132,0.31
4,133,0.3394427190999916
4,134,0.3544427190999916
4,135,0.020412414523193152
4,136,0.11065592253558801
4,137,0.6764911064067352
4,138,0.014999999999999996
4,139,0.2544427190999916
4,140,0.24324555320336758
4,141,0.4491640786499874
4,142,0.11907038224975389
4,143,0.19388543819998316
4,144,0.2000986416355796
4,145,0.4119035209299283
4,146,0.3492978527231763
4,147,0.14149110640673515
4,148,0.45999999999999996
4,149,0.5750000000000001
4,150,0.5144427190999916
4,151,0.16499999999999998
4,152,0.10327955589886446
4,153,0.0
4,154,0.38944271909999156
4,155,0.31991933384829674
4,156,0.5549193338482967
4,157,0.07824555320336758
5,6,0.3988675134594813
5,7,0.3981083959116891
5,8,0.47566636521029704
5,9,0.4224667827047612
5,10,0.5761724636713158
5,11,0.3982302626573141
5,12,0.6910660171779822
5,13,0.5138675134594812
5,14,0.519983508253484
5,15,0.04924500897298752
5,16,0.1728984741134783
5,17,0.7342450089729876
5,18,0.7111159947940028
5,19,0.7272404945397103
5,20,0.06386751345948129
5,21,0.41493082388124947
5,22,0.17933756729740646
5,23,0.09794019176006083
5,24,0.4902888696967908
5,25,0.5638675134594813
5,26,0.45515828991886087
5,27,0.13021181010894714
5,28,0.07008071689507772
5,29,0.4638675134594813
5,30,0.43660891832849213
5,31,0.43343437240977734
5,32,0.3703553390593274
5,33,0.49310662691519136
5,34,0.19999999999999996
5,35,0.5049592602357195
5,36,0.18263455967290593
5,37,0.4902888696967908
5,38,0.38460392117639214
5,39,0.193582576270394
5,40,0.4492880001665366
5,41,0.353898792058238
5,42,0.5008253928972525
5,43,0.4895338786697783
5,44,0.26367046431901475
5,45,0.6613580756358364
5,46,0.6053553390593275
5,47,0.709312131566054
5,48,0.580121092728646
5,49,0.29810839591168914
5,50,0.672862861528369
5,51,0.33469463855669324
5,52,0.6909078419922896
5,53,0.15296836162110203
5,54,0.533380033080623
5,55,0.21584727244415705
5,56,0.4902888696967908
5,57,0.36356215201617453
5,58,0.661776695296637
5,59,0.36880527169224175
5,60,0.3785621520161745
5,61,0.06272369429112257
5,62,0.39976609063908614
5,63,0.32
5,64,0.4195781915781361
5,65,0.6200499776160207
5,66,0.26316553908656154
5,67,0.6698367319626835
5,68,0.40164965809277264
5,69,0.5052888696967908
5,70,0.4095754848219221
5,71,0.26960034803231486
5,72,0.17602527741370164
5,73,0.6281937481290477
5,74,0.49886751345948127
5,75,0.889983508253484
5,76,0.896380616473029
5,77,0.18581913830240082
5,78,0.23480295085953343
5,79,0.5693787425221579
5,80,0.3771668296450265
5,81,0.332238480849298
5,82,0.47082539289725256
5,83,0.4128494743797597
5,84,0.49886751345948127
5,85,0.3805171715522539
5,86,0.30086117798374123
5,87,0.20296836162110202
5,88,0.11664965809277261
5,89,0.4402888696967908
5,90,0.42642135623730953
5,91,0.8533149374706054
5,92,0.716344296649466
5,93,0.5114213562373094
5,94,0.307751287855864
5,95,0.3621668296450265
5,96,0.5114713338533301
5,97,0.6672879243593136
5,98,0.20528886969679078
5,99,0.4764213562373095
5,100,0.35571067811865476
5,101,0.5267707508214186
5,102,0.11192388155425118
5,103,0.26386751345948123
5,104,0.8610252774137016
5,105,0.18953387866977833
5,106,0.23132993161855447
5,107,0.5414213562373095
5,108,0.435
5,109,0.034999999999999996
5,110,0.19563287612827815
5,111,0.4902888696967908
5,112,0.5631655390865615
5,113,0.5484714346358733
5,114,0.5348029508595334
5,115,0.7408947771644904
5,116,0.04811252243246882
5,117,0.1968358750805833
5,118,0.3698836677546112
5,119,0.2848029508595335
5,120,0.5114713338533301
5,121,0.3552888696967908
5,122,0.3953539035149374
5,123,0.43021181010894716
5,124,0.6577512878558641
5,125,0.4639414884737986
5,126,0.18998350825348403
5,127,0.3114213562373095
5,128,0.882238480849298
5,129,0.16549193338482968
5,130,0.4851234185243329
5,131,0.5342980256270802
5,132,0.4132455532033676
5,133,0.382238480849298
5,134,0.476224307096843
5,135,0.5195338786697783
5,136,0.6111159947940028
5,137,0.06885618083164127
5,138,0.9261159947940029
5,139,0.504983508253484
5,140,0.57
5,141,0.14071067811865476
5,142,0.6699999999999999
5,143,0.36311252243246883
5,144,0.5049592602357195
5,145,0.34847143463587343
5,146,0.0638675134594813
5,147,0.36356215201617453
5,148,0.1328459012356825
5,149,0.307751287855864
5,150,0.5265796461561704
5,151,0.4964713338533301
5,152,0.7760230104766678
5,153,0.22009182055632429
5,154,0.4698927908731829
5,155,0.3636704643190148
5,156,0.4556259661832662
5,157,0.26386751345948123
6,7,0.48893322495807545
6,8,0.17566636521029702
6,9,0.11792024593583142
6,10,0.2604287502227784
6,11,0.44368372588838434
6,12,0.1111230926418479
6,13,0.5683333333333334
6,14,0.21111599479400275
6,15,0.0359116756396542
6,16,0.4367423461417476
6,17,0.1859116756396542
6,18,0.16111599479400274
6,19,0.18489480456359522
6,20,0.06833333333333334
6,21,0.3712011027807116
6,22,0.4171367205045919
6,23,0.08294019176006082
6,24,0.19308802290397614
6,25,0.2533333333333333
6,26,0.19021536538272663
6,27,0.13922416675172894
6,28,0.30333333333333334
6,29,0.13666666666666666
6,30,0.1366659937923579
6,31,0.1212335256169627
6,32,0.29041241452319316
6,33,0.2135761169022503
6,34,0.75
6,35,0.20501633569958527
6,36,0.18183377076050267
6,37,0.4493012263395726
6,38,0.4050163356995853
6,39,0.4513817294775794
6,40,0.15815551362601785
6,41,0.06016907095770019
6,42,0.1762948828843115
6,43,0.19854623531256013
6,44,0.2531362841928668
6,45,0.13703709894528487
6,46,0.06162561795878958
6,47,0.3581796450255352
6,48,0.2995869126024981
6,49,0.6119759093711703
6,50,0.10164965809277261
6,51,0.03469463855669323
6,52,0.3696946385566932
6,53,0.48463502828776867
6,54,0.21663264951887856
6,55,0.5213167624312159
6,56,0.19308802290397614
6,57,0.3180279718900266
6,58,0.33183377076050263
6,59,0.6432710915660939
6,60,0.2863613052233599
6,61,0.3505228474983079
6,62,0.12097929407468257
6,63,0.31162561795878957
6,64,0.1540440114519881
6,65,0.2901070530798864
6,66,0.2509646922937469
6,67,0.6348367319626835
6,68,0.11664965809277261
6,69,0.19475468957064285
6,70,0.09624215148858878
6,71,0.5750698380193738
6,72,0.47602527741370165
6,73,0.31765956800289974
6,74,0.47454653676892977
6,75,0.35778266146066934
6,76,0.3464376919368948
6,77,0.6934734483262857
6,78,0.23480295085953343
6,79,0.5026313589604136
6,80,0.3649659828522119
6,81,0.8610252774137016
6,82,0.1708824683611183
6,83,0.35326188890295285
6,84,0.18666666666666665
6,85,0.13331632475943928
6,86,0.5709182534476072
6,87,0.5030490785161797
6,88,0.13331632475943928
6,89,0.4930880229039762
6,90,0.17642135623730948
6,91,0.26096924749449013
6,92,0.14521181010894713
6,93,0.21150207313238722
6,94,0.8577512878558641
6,95,0.6966326495188786
6,96,0.19652840931719587
6,97,0.33113179638758294
6,98,0.19475468957064285
6,99,0.4114213562373095
6,100,0.10571067811865476
6,101,0.21623657069527072
6,102,0.09071067811865476
6,103,0.2683333333333333
6,104,0.32602527741370163
6,105,0.7589996985436304
6,106,0.7979965982852213
6,107,0.5914213562373095
6,108,0.16386751345948125
6,109,0.048867513459481295
6,110,0.7723155695509335
6,111,0.1993012263395726
6,112,0.2509646922937469
6,113,0.5179372545097254
6,114,0.2514696175262001
6,115,0.15473864919275962
6,116,0.050911675639654194
6,117,0.46963502828776865
6,118,0.03646961752620016
6,119,0.019802950859533486
6,120,0.4465284093171959
6,121,0.3597546895706428
6,122,0.1331530567221228
6,123,0.3680109633161325
6,124,0.6078320047509417
6,125,0.16840730834765066
6,126,0.19278266146066939
6,127,0.8614213562373095
